selector,r_val,r_eval,outer,selected_model,oracle_model_at_eval,selected_test_sr_at_eval,oracle_test_sr_at_eval,regret,oracle_match
clean,0.0,0.5,23,HistGB,KNN,35.70825739251677,31.138388285827343,4.569869106689428,0
clean,0.0,0.5,24,HistGB,KNN,34.82354914689996,30.66380562129224,4.159743525607716,0
clean,0.025,0.0,0,HistGB,HistGB,11.76015510447522,11.76015510447522,0.0,1
clean,0.025,0.0,1,HistGB,HistGB,13.73168860179165,13.73168860179165,0.0,1
clean,0.025,0.0,2,HistGB,HistGB,12.03246102203424,12.03246102203424,0.0,1
clean,0.025,0.0,3,HistGB,HistGB,12.507296971676508,12.507296971676508,0.0,1
clean,0.025,0.0,4,HistGB,HistGB,11.663767967150225,11.663767967150225,0.0,1
clean,0.025,0.0,5,HistGB,HistGB,12.788000461342667,12.788000461342667,0.0,1
clean,0.025,0.0,6,HistGB,HistGB,15.137088661400586,15.137088661400586,0.0,1
clean,0.025,0.0,7,HistGB,HistGB,11.832086758523523,11.832086758523523,0.0,1
clean,0.025,0.0,8,HistGB,HistGB,11.80698803744633,11.80698803744633,0.0,1
clean,0.025,0.0,9,HistGB,HistGB,12.556532991757797,12.556532991757797,0.0,1
clean,0.025,0.0,10,HistGB,HistGB,12.006766732493656,12.006766732493656,0.0,1
clean,0.025,0.0,11,HistGB,HistGB,11.346172695771273,11.346172695771273,0.0,1
clean,0.025,0.0,12,HistGB,HistGB,11.53607012306929,11.53607012306929,0.0,1
clean,0.025,0.0,13,HistGB,HistGB,12.501230435307573,12.501230435307573,0.0,1
clean,0.025,0.0,14,HistGB,HistGB,12.374390426143172,12.374390426143172,0.0,1
clean,0.025,0.0,15,HistGB,HistGB,12.425630433445932,12.425630433445932,0.0,1
clean,0.025,0.0,16,HistGB,HistGB,13.0920493003693,13.0920493003693,0.0,1
clean,0.025,0.0,17,HistGB,HistGB,14.474854688524555,14.474854688524555,0.0,1
