selector,r_val,r_eval,outer_repeats,regret_mean,regret_sd,regret_mcse,oracle_match_rate,selected_test_sr_mean,oracle_test_sr_mean,selected_model_mode,selected_model_entropy,oracle_match_mcse,regret_ci95_halfwidth
SRCV,0.15,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
SRCV,0.15,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
SRCV,0.15,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
SRCV,0.15,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
SRCV,0.15,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
SRCV,0.17,0.0,25,0.12720794542394687,0.6360397271197342,0.12720794542394684,0.96,12.852877434480128,12.725669489056184,HistGB,0.167944147734173,0.039191835884530866,0.2493275730309358
SRCV,0.17,0.025,25,0.06170365055191098,0.30851825275955497,0.061703650551910995,0.96,14.871082657262773,14.809379006710863,HistGB,0.167944147734173,0.039191835884530866,0.12093915508174555
SRCV,0.17,0.1,25,0.02528543556888877,0.1264271778444439,0.025285435568888782,0.96,17.143970324035557,17.118684888466667,HistGB,0.167944147734173,0.039191835884530866,0.04955945371502201
SRCV,0.17,0.15,25,0.031553770501860326,0.11339427112043057,0.022678854224086116,0.84,18.468210442817394,18.436656672315536,HistGB,0.167944147734173,0.07332121111929345,0.044450554279208784
SRCV,0.17,0.19,25,0.05234466683989993,0.1554832568485246,0.03109665136970492,0.8,19.789856833873202,19.7375121670333,HistGB,0.167944147734173,0.08,0.06094943668462164
SRCV,0.17,0.2,25,0.06544207501995061,0.1717728864486735,0.0343545772897347,0.72,20.10438927999883,20.03894720497888,HistGB,0.167944147734173,0.0897997772825746,0.06733497148788001
SRCV,0.17,0.21,25,0.11117850505073022,0.21757316393149143,0.04351463278629829,0.56,20.441753367098805,20.330574862048078,HistGB,0.167944147734173,0.09927738916792685,0.08528868026114464
